,loss,vxm_dense_transformer_loss,vxm_dense_flow_resize_loss
0,0.0015027966583147645,0.0014957648236304522,0.0007032572757452726
1,0.00132810790091753,0.0012910926016047597,0.0037014952395111322
2,0.0012483393074944615,0.001169998082332313,0.007834084331989288
3,0.0010048846015706658,0.000927905784919858,0.00769786536693573
4,0.0009684028336778283,0.0008766812970861793,0.009172188118100166
5,0.0008902419940568507,0.0008009618613868952,0.008928025141358376
6,0.0009898171992972493,0.0008784566889517009,0.011136059649288654
7,0.00073578319279477,0.0006545132491737604,0.008126985281705856
8,0.000838396605104208,0.0007313587702810764,0.010703789070248604
9,0.0008670357055962086,0.0007528806454502046,0.011415522545576096
10,0.000744677847251296,0.0006430279463529587,0.010164987295866013
11,0.0007064613164402544,0.0006054773693904281,0.010098401457071304
12,0.000634363095741719,0.0005477790837176144,0.008658405393362045
13,0.0008027151925489306,0.0006848638295195997,0.011785144917666912
14,0.0007418397581204772,0.0006323974812403321,0.010944241657853127
15,0.0007154039340093732,0.0006097155273891985,0.010568831115961075
16,0.0006479450967162848,0.0005523987347260118,0.009554613381624222
17,0.000732493179384619,0.0006249971920624375,0.010749570094048977
18,0.000636242562904954,0.0005394197069108486,0.00968226883560419
19,0.0006578045431524515,0.0005514204967767,0.010638389736413956
20,0.0007359653245657682,0.0006248942227102816,0.011107120662927628
21,0.0007075478788465261,0.0005895288777537644,0.011801893822848797
22,0.0006724191480316222,0.0005662977928295732,0.010612127371132374
23,0.0008165632025338709,0.0006809147307649255,0.013564832508563995
24,0.0006200977950356901,0.0005277285818010569,0.00923692062497139
25,0.0006587745156139135,0.0005514791700989008,0.010729537345468998
26,0.0006934624398127198,0.0005770226125605404,0.011643964797258377
27,0.000710461987182498,0.0005962062859907746,0.011425579898059368
28,0.000804784067440778,0.0006625790265388787,0.014220505021512508
29,0.0007907123654149473,0.0006578715401701629,0.01328407134860754
30,0.0007295965915545821,0.0006124269566498697,0.01171697024255991
31,0.0006462284363806248,0.0005331414868123829,0.011308685876429081
32,0.0006861617439426482,0.0005712603451684117,0.011490152217447758
33,0.0007799090235494077,0.0006522438488900661,0.01276648510247469
34,0.000613690703175962,0.0005085518350824714,0.01051389891654253
35,0.000654252537060529,0.0005423691472969949,0.011188327334821224
36,0.0006483623874373734,0.0005438234657049179,0.010453904047608376
37,0.0006658418569713831,0.0005476506776176393,0.011819115839898586
38,0.0006857317639514804,0.0005659084999933839,0.011982324533164501
39,0.0005692424601875246,0.00047980848466977477,0.0089434077963233
